,crashes,crashes,cyclist,cyclist,driver,driver,passenger,passenger,pedestrian,pedestrian
,roy,projected,roy,projected,roy,projected,roy,projected,roy,projected
county,,,,,,,,,,
Atlantic,33,36,2,2,17,19,6,6,11,12
Bergen,39,44,1,1,21,23,4,4,10,13
Camden,38,41,5,5,16,16,5,5,13,16
Cape May,5,5,0,0,3,3,1,1,2,2
Essex,41,43,2,2,20,20,4,4,19,21
Gloucester,30,31,1,1,19,20,5,5,5,5
Hudson,23,25,3,3,10,11,3,3,9,10
Hunterdon,3,4,0,0,3,3,0,0,1,2
Mercer,33,35,0,0,16,18,3,3,10,10
Middlesex,53,59,2,2,26,28,10,12,19,23
Monmouth,33,38,3,3,17,18,9,12,5,7
Morris,18,18,0,0,12,12,4,4,3,3
Ocean,41,47,1,1,26,28,6,6,9,13
Passaic,23,24,0,0,13,13,1,1,9,10
Union,27,28,2,2,9,9,5,5,12,13
Warren,10,10,0,0,7,7,1,1,2,2
Burlington,34,37,1,1,26,28,4,5,5,5
Cumberland,19,20,0,0,12,12,5,5,5,6
Salem,10,10,0,0,7,7,2,2,2,2
Somerset,20,20,0,0,13,13,4,4,5,5
Sussex,5,5,0,0,5,5,2,2,1,1
